Invoice number,Payment due,Payment paid,Late<30,30<Late<60,60<Late<90,90<Late
11509,14,0,0,0,0,0
10864,-5558,474,0,0,474,0
total due: 2602, total paid: 474
10-2017
11609,3042,0,0,0,0,0
56342,410,0,0,0,0,0
56383,304,0,0,0,0,0
11519,125,0,0,0,0,0
56382,110,0,0,0,0,0
56413,1253,1253,1253,0,0,0
11607,6477,0,0,0,0,0
56410,507,0,0,0,0,0
11540,135,135,135,0,0,0
11602,503,0,0,0,0,0
11507,260,0,0,0,0,0
103540,-100,0,0,0,0,0
total due: 13026, total paid: 1388
10-2017
56190,30416,0,0,0,0,0
11244,10427,0,0,0,0,0
11264,6962,0,0,0,0,0
total due: 47805, total paid: 0
10-2017
56322,2032,2032,2032,0,0,0
56264,5806,0,0,0,0,0
56276,386,0,0,0,0,0
56320,100,0,0,0,0,0
56291,422,0,0,0,0,0
56310,243,0,0,0,0,0
total due: 8989, total paid: 2032
10-2017
56408,19719,0,0,0,0,0
56379,16913,0,0,0,0,0
56350,416,0,0,0,0,0
56389,1171,0,0,0,0,0
56396,404,404,404,0,0,0
56368,11049,0,0,0,0,0
56404,539,539,539,0,0,0
11623,534,534,534,0,0,0
56373,673,673,673,0,0,0
56341,5247,0,0,0,0,0
56357,50,0,0,0,0,0
56356,2017,1525,1525,0,0,0
11715,328,328,328,0,0,0
56473,1697,1697,1697,0,0,0
56418,1434,0,0,0,0,0
11604,4133,0,0,0,0,0
11508,10851,0,0,0,0,0
6847,21000,0,0,0,0,0
56345,354,354,354,0,0,0
56360,161,0,0,0,0,0
11524,11400,11400,11400,0,0,0
11547,3324,3324,3324,0,0,0
103550,-1303,0,0,0,0,0
11633,2974,2974,2974,0,0,0
56376,920,0,0,0,0,0
56374,1769,1769,1769,0,0,0
11622,13689,875,875,0,0,0
10806,-445,0,0,0,0,0
56375,22686,0,0,0,0,0
10887,-3000,0,0,0,0,0
56399,211,211,211,0,0,0
11580,2006,0,0,0,0,0
56377,1052,0,0,0,0,0
103573,-410,0,0,0,0,0
56392,2188,0,0,0,0,0
11554,1600,0,0,0,0,0
56394,2854,0,0,0,0,0
11598,190,0,0,0,0,0
11577,10446,0,0,0,0,0
56349,57,0,0,0,0,0
56403,2687,0,0,0,0,0
56370,1717,0,0,0,0,0
11628,21610,0,0,0,0,0
103539,-1500,0,0,0,0,0
56386,35458,0,0,0,0,0
56351,10728,0,0,0,0,0
56338,12996,0,0,0,0,0
56364,16214,0,0,0,0,0
11624,3456,0,0,0,0,0
11625,2135,0,0,0,0,0
56387,936,0,0,0,0,0
56423,31,0,0,0,0,0
56346,783,0,0,0,0,0
14342,-761,0,0,0,0,0
11600,20600,0,0,0,0,0
56412,5262,0,0,0,0,0
11523,3543,0,0,0,0,0
56388,356,0,0,0,0,0
56343,-151,0,0,0,0,0
13915,-28,0,0,0,0,0
11510,1285,0,0,0,0,0
11511,12000,0,0,0,0,0
11512,2468,0,0,0,0,0
11513,54,0,0,0,0,0
11543,2056,0,0,0,0,0
56344,1044,0,0,0,0,0
11555,2340,0,0,0,0,0
56400,632,0,0,0,0,0
56395,328,0,0,0,0,0
11530,64406,0,0,0,0,0
11619,21060,0,0,0,0,0
11621,6772,0,0,0,0,0
56381,2577,0,0,0,0,0
56390,2784,0,0,0,0,0
56405,66,0,0,0,0,0
11533,8000,0,0,0,0,0
56401,1078,0,0,0,0,0
56372,251,0,0,0,0,0
56391,5777,0,0,0,0,0
10826,-2044,0,0,0,0,0
56369,3101,0,0,0,0,0
10865,-3000,0,0,0,0,0
56380,2668,0,0,0,0,0
56385,7425,0,0,0,0,0
11599,110,0,0,0,0,0
56498,2472,0,0,0,0,0
10706,9000,0,0,0,0,0
10707,9111,0,0,0,0,0
